desconto,uplift_mean,uplift_sd,periodo_dias,n_simulacoes,fat_base_medio,fat_promo_medio,delta_medio,prob_melhora,delta_q5,delta_q50,delta_q95
0.1,0.1,0.1,30,2000,68513.678475,68507.85252703248,-5.825947967515356,0.4175,-54.09680532870698,-7.078332225777558,45.884765446163506
0.1,0.3,0.1,30,2000,68443.738875,68770.65226434688,326.913389346892,1.0,255.58740038963515,325.47530824509886,405.08358429317667
0.1,0.5,0.1,30,2000,68556.71872500001,69231.26313249847,674.544407498471,1.0,571.5414909822554,672.5897041255012,783.8282130811225
0.2,0.1,0.1,30,2000,68595.7681,68377.19568052095,-218.57241947904566,0.0,-274.6952653428649,-217.50102092187444,-167.62044875773464
0.2,0.3,0.1,30,2000,68559.20869999999,68636.41447514415,77.20577514415176,0.9905,26.36335584093686,76.1288735827984,132.82261129907855
0.2,0.5,0.1,30,2000,68601.52965000001,68985.54975487453,384.0201048745421,1.0,314.72018213725096,381.32934230381215,457.41205583551636
0.3,0.1,0.1,30,2000,68552.52922499999,68120.33814689069,-432.19107810931246,0.0,-502.3986460269087,-430.9754364424625,-364.1432415850126
0.3,0.3,0.1,30,2000,68587.79245000001,68413.36159469213,-174.4308553078574,0.0,-226.54326790290506,-173.4451766251659,-124.98516145125032
0.3,0.5,0.1,30,2000,68568.82722500002,68665.41303650776,96.58581150775076,1.0,50.008692026286006,95.95641800509475,143.4209054609637
